Gene	symbol	log2FC	t	pvalue	padj	significant
ENSG00000232903	LINC01166	-0.1652643287137665	-4.506375865897214	2.817910625238908e-05	0.012866097039430032	Down
ENSG00000105559	PLEKHA4	0.1777178228549332	4.511616356300944	2.830761595027261e-05	0.012866097039430032	Up
ENSG00000233723	LINC01793	-0.09170749720381122	-4.502845034255015	2.853634355150415e-05	0.012866097039430032	Not significant
ENSG00000181852	RNF41	-0.2882038913787146	-4.502612746302087	2.8717451844370794e-05	0.012866097039430032	Down
ENSG00000064763	FAR2	-0.14048546091471303	-4.508698213174108	2.880579728880674e-05	0.012866097039430032	Down
ENSG00000087903	RFX2	0.14714239746044444	4.501798360049528	2.8854536363514955e-05	0.012866097039430032	Up
ENSG00000172425	TTC36	-0.1599172318706189	-4.500862542120586	2.8900374061714713e-05	0.012866097039430032	Down
ENSG00000010165	METTL13	-0.1826850248062688	-4.490738555347277	2.9892886140187837e-05	0.012866097039430032	Down
ENSG00000164520	RAET1E	0.13325076170601224	4.698413887842379	2.9985781833463308e-05	0.012866097039430032	Up
ENSG00000163875	MEAF6	-0.1955650382358871	-4.5026459234784895	3.0189808838656264e-05	0.012866097039430032	Down
ENSG00000248383	PCDHAC1	-0.156656470412895	-4.486075095101477	3.0529636050764594e-05	0.012866097039430032	Down
ENSG00000144648	ACKR2	0.07976310846339807	4.482601575933181	3.065428997252233e-05	0.012866097039430032	Not significant
ENSG00000158301	GPRASP2	-0.36828781176253766	-4.481193653144537	3.0957454436471935e-05	0.012866097039430032	Down
ENSG00000108395	TRIM37	-0.3157099943291901	-4.487312362649836	3.1412473630335814e-05	0.012866097039430032	Down
ENSG00000141510	TP53	0.11472113905438253	4.475011413321303	3.14842612118508e-05	0.012866097039430032	Up
ENSG00000127252	PLAAT1	-0.1196362023244979	-4.485705799110495	3.2109451941118705e-05	0.012866097039430032	Down
ENSG00000185518	SV2B	-0.5918367832743856	-4.46730982329448	3.2417370360485754e-05	0.012866097039430032	Down
ENSG00000257519		0.11494354919245464	4.49073441676578	3.3251842429281936e-05	0.012866097039430032	Up
ENSG00000183977	PP2D1	-0.1081549094194898	-4.532619820646366	3.3599680557782636e-05	0.012866097039430032	Down
ENSG00000243069	ARHGEF26-AS1	0.2019510410655272	4.458827255791813	3.362852060775829e-05	0.012866097039430032	Up
ENSG00000136750	GAD2	-0.4146401235249142	-4.460169514294919	3.366387497750469e-05	0.012866097039430032	Down
ENSG00000070087	PFN2	-0.2864791792386123	-4.506696983364428	3.425143038620696e-05	0.012866097039430032	Down
ENSG00000188582	PAQR9	-0.14250985892373902	-4.457679692595551	3.4287628870568595e-05	0.012866097039430032	Down
ENSG00000165023	DIRAS2	-0.44017064856434196	-4.448401243560966	3.462117621710621e-05	0.012866097039430032	Down
